               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11227,            0.038013,                   0,            0.010911,            0.025641,           0.0040671,          0.00067308,            0.096907,             0.03327,                   0,             0.00018,             0.00018,             0.09838
                   1,             0.10942,             0.04459,                   0,             0.01698,             0.15385,           0.0083544,           0.0011416,            0.094708,            0.033719,                   0,           0.0003698,           0.0003698,             0.09667
                   2,              0.1092,            0.038866,                   0,            0.018878,             0.38462,            0.012245,           0.0021115,            0.090976,            0.034618,                   0,          0.00055877,          0.00055877,            0.094959
                   3,            0.098938,            0.036303,                   0,            0.031294,             0.35897,            0.020011,           0.0030916,            0.085174,             0.03622,                   0,          0.00074631,          0.00074631,            0.093246
                   4,             0.09219,            0.045989,                   0,            0.049076,             0.25641,            0.032087,           0.0049745,            0.079962,            0.037151,                   0,          0.00093178,          0.00093178,            0.091532
                   5,            0.093785,            0.048344,                   0,             0.10718,             0.28205,            0.062813,            0.010372,            0.075908,            0.037433,                   0,           0.0011146,           0.0011146,            0.089815
                   6,            0.090752,            0.050542,                   0,              0.1899,             0.20513,             0.10429,            0.018954,            0.071769,            0.037608,                   0,           0.0012942,           0.0012942,            0.088094
                   7,            0.085262,            0.050882,                   0,             0.16629,             0.48718,             0.15905,            0.027313,            0.068178,            0.037926,                   0,           0.0014699,           0.0014699,             0.08637
                   8,            0.072646,            0.047999,                   0,             0.20042,             0.53846,             0.18905,            0.037909,            0.066658,            0.037792,                   0,           0.0016412,           0.0016412,            0.084641
                   9,            0.073779,            0.047235,                   0,             0.26967,              0.4829,             0.27305,             0.05149,            0.063982,             0.03708,                   0,           0.0018076,           0.0018076,            0.082908
                  10,            0.073017,            0.050083,                   0,             0.33639,             0.48718,             0.33867,            0.071214,            0.062591,            0.036413,                   0,           0.0019685,           0.0019685,            0.081169
